network_definition,mode,physical_level,num_units_compared,baseline_target_units,mode_target_units,shared_target_units,target_jaccard_vs_baseline,target_precision_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate
application_observation_supplementary,as_only_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
application_observation_supplementary,fused_dual_core_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
application_observation_supplementary,geo_only_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
application_observation_supplementary,high_confidence_subset_cable,cable,530,102,105,100,0.9345794392523364,0.9523809523809523,0.9803921568627451,0.9849056603773585
application_observation_supplementary,as_only_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
application_observation_supplementary,fused_dual_core_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
application_observation_supplementary,geo_only_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
application_observation_supplementary,high_confidence_subset_corridor,corridor,530,102,67,53,0.45689655172413796,0.7910447761194029,0.5196078431372549,0.7886792452830189
as_egress_primary,as_only_cable,cable,539,101,101,101,1.0,1.0,1.0,1.0
as_egress_primary,fused_dual_core_cable,cable,539,101,101,101,1.0,1.0,1.0,1.0
as_egress_primary,geo_only_cable,cable,539,101,101,101,1.0,1.0,1.0,1.0
as_egress_primary,high_confidence_subset_cable,cable,530,101,103,98,0.9245283018867925,0.9514563106796117,0.9702970297029703,0.9679245283018868
as_egress_primary,as_only_corridor,corridor,539,101,81,57,0.456,0.7037037037037037,0.5643564356435643,0.7884972170686456
as_egress_primary,fused_dual_core_corridor,corridor,539,101,81,57,0.456,0.7037037037037037,0.5643564356435643,0.7884972170686456
as_egress_primary,geo_only_corridor,corridor,539,101,81,57,0.456,0.7037037037037037,0.5643564356435643,0.7884972170686456
as_egress_primary,high_confidence_subset_corridor,corridor,530,101,83,60,0.4838709677419355,0.7228915662650602,0.594059405940594,0.7773584905660378
as_only,as_only_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_only,fused_dual_core_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_only,geo_only_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_only,high_confidence_subset_cable,cable,530,104,104,99,0.908256880733945,0.9519230769230769,0.9519230769230769,0.9754716981132076
as_only,as_only_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_only,fused_dual_core_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_only,geo_only_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_only,high_confidence_subset_corridor,corridor,530,104,61,52,0.46017699115044247,0.8524590163934426,0.5,0.7811320754716982
as_pair_primary,as_only_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_pair_primary,fused_dual_core_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_pair_primary,geo_only_cable,cable,539,104,104,104,1.0,1.0,1.0,1.0
as_pair_primary,high_confidence_subset_cable,cable,530,104,104,99,0.908256880733945,0.9519230769230769,0.9519230769230769,0.9754716981132076
as_pair_primary,as_only_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_pair_primary,fused_dual_core_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_pair_primary,geo_only_corridor,corridor,539,104,59,51,0.45535714285714285,0.864406779661017,0.49038461538461536,0.7884972170686456
as_pair_primary,high_confidence_subset_corridor,corridor,530,104,61,52,0.46017699115044247,0.8524590163934426,0.5,0.7811320754716982
combined_supplementary,as_only_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
combined_supplementary,fused_dual_core_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
combined_supplementary,geo_only_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
combined_supplementary,high_confidence_subset_cable,cable,530,100,101,96,0.9142857142857143,0.9504950495049505,0.96,0.9754716981132076
combined_supplementary,as_only_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
combined_supplementary,fused_dual_core_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
combined_supplementary,geo_only_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
combined_supplementary,high_confidence_subset_corridor,corridor,530,100,57,47,0.42727272727272725,0.8245614035087719,0.47,0.7849056603773585
composite,as_only_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
composite,fused_dual_core_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
composite,geo_only_cable,cable,539,100,100,100,1.0,1.0,1.0,1.0
composite,high_confidence_subset_cable,cable,530,100,101,96,0.9142857142857143,0.9504950495049505,0.96,0.9754716981132076
composite,as_only_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
composite,fused_dual_core_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
composite,geo_only_corridor,corridor,539,100,56,45,0.40540540540540543,0.8035714285714286,0.45,0.7884972170686456
composite,high_confidence_subset_corridor,corridor,530,100,57,47,0.42727272727272725,0.8245614035087719,0.47,0.7849056603773585
country_only,as_only_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
country_only,fused_dual_core_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
country_only,geo_only_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
country_only,high_confidence_subset_cable,cable,530,93,94,88,0.8888888888888888,0.9361702127659575,0.946236559139785,0.9754716981132076
country_only,as_only_corridor,corridor,539,93,80,62,0.5585585585585585,0.775,0.6666666666666666,0.7884972170686456
country_only,fused_dual_core_corridor,corridor,539,93,81,63,0.5675675675675675,0.7777777777777778,0.6774193548387096,0.7884972170686456
country_only,geo_only_corridor,corridor,539,93,81,63,0.5675675675675675,0.7777777777777778,0.6774193548387096,0.7884972170686456
country_only,high_confidence_subset_corridor,corridor,530,93,80,61,0.5446428571428571,0.7625,0.6559139784946236,0.7830188679245284
dst_asn_primary,as_only_cable,cable,539,106,106,106,1.0,1.0,1.0,1.0
dst_asn_primary,fused_dual_core_cable,cable,539,106,106,106,1.0,1.0,1.0,1.0
dst_asn_primary,geo_only_cable,cable,539,106,106,106,1.0,1.0,1.0,1.0
dst_asn_primary,high_confidence_subset_cable,cable,530,106,106,101,0.9099099099099099,0.9528301886792453,0.9528301886792453,0.9773584905660377
dst_asn_primary,as_only_corridor,corridor,539,106,60,52,0.45614035087719296,0.8666666666666667,0.49056603773584906,0.7884972170686456
dst_asn_primary,fused_dual_core_corridor,corridor,539,106,60,52,0.45614035087719296,0.8666666666666667,0.49056603773584906,0.7884972170686456
dst_asn_primary,geo_only_corridor,corridor,539,106,60,52,0.45614035087719296,0.8666666666666667,0.49056603773584906,0.7884972170686456
dst_asn_primary,high_confidence_subset_corridor,corridor,530,106,61,52,0.45217391304347826,0.8524590163934426,0.49056603773584906,0.7811320754716982
geographic_transition_supplementary,as_only_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
geographic_transition_supplementary,fused_dual_core_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
geographic_transition_supplementary,geo_only_cable,cable,539,93,93,93,1.0,1.0,1.0,1.0
geographic_transition_supplementary,high_confidence_subset_cable,cable,530,93,94,88,0.8888888888888888,0.9361702127659575,0.946236559139785,0.9754716981132076
geographic_transition_supplementary,as_only_corridor,corridor,539,93,80,62,0.5585585585585585,0.775,0.6666666666666666,0.7884972170686456
geographic_transition_supplementary,fused_dual_core_corridor,corridor,539,93,81,63,0.5675675675675675,0.7777777777777778,0.6774193548387096,0.7884972170686456
geographic_transition_supplementary,geo_only_corridor,corridor,539,93,81,63,0.5675675675675675,0.7777777777777778,0.6774193548387096,0.7884972170686456
geographic_transition_supplementary,high_confidence_subset_corridor,corridor,530,93,80,61,0.5446428571428571,0.7625,0.6559139784946236,0.7830188679245284
probe_target_only,as_only_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
probe_target_only,fused_dual_core_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
probe_target_only,geo_only_cable,cable,539,102,102,102,1.0,1.0,1.0,1.0
probe_target_only,high_confidence_subset_cable,cable,530,102,105,100,0.9345794392523364,0.9523809523809523,0.9803921568627451,0.9849056603773585
probe_target_only,as_only_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
probe_target_only,fused_dual_core_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
probe_target_only,geo_only_corridor,corridor,539,102,63,50,0.43478260869565216,0.7936507936507936,0.49019607843137253,0.7884972170686456
probe_target_only,high_confidence_subset_corridor,corridor,530,102,67,53,0.45689655172413796,0.7910447761194029,0.5196078431372549,0.7886792452830189
